 Ca Density=1.55
 Energy(eV), Delta, Beta
  11072.7529  2.66741517E-06  9.6977395E-08
  11227.1006  2.59415128E-06  9.19776042E-08
  11383.6006  2.52288191E-06  8.72331469E-08
  11542.2822  2.45356364E-06  8.27312263E-08
  11703.1748  2.38613916E-06  7.84597205E-08
  11866.3105  2.32054867E-06  7.44067137E-08
  12031.7207  2.25676081E-06  7.05606951E-08
  12199.4365  2.19471713E-06  6.69122073E-08
  12369.4902  2.13437102E-06  6.34495336E-08
  12541.9141  2.07567678E-06  6.01647443E-08
  12716.7412  2.01859461E-06  5.70484922E-08
  12894.0059  1.96307838E-06  5.40923999E-08
  13073.7412  1.90908213E-06  5.12880192E-08
  13255.9824  1.85656506E-06  4.86271041E-08
  13440.7637  1.80549262E-06  4.61034375E-08
  13628.1211  1.75582511E-06  4.37089156E-08
  13818.0889  1.70752412E-06  4.14380281E-08
  14010.7061  1.6605469E-06  3.92838402E-08
  14206.0068  1.61486014E-06  3.72405715E-08
  14404.0312  1.57042973E-06  3.53026159E-08
  14604.8164  1.52722168E-06  3.34643815E-08
  14808.3994  1.48520246E-06  3.17214948E-08
  15014.8203  1.44433943E-06  3.00679162E-08
  15224.1182  1.40460065E-06  2.84996098E-08
  15436.335  1.36595486E-06  2.70122484E-08
  15651.5098  1.32837522E-06  2.56017749E-08
  15869.6816  1.29183059E-06  2.42642297E-08
  16090.8965  1.25628844E-06  2.29959447E-08
  16315.1953  1.22172833E-06  2.17933867E-08
  16542.6191  1.1881192E-06  2.06527648E-08
  16773.2148  1.15543435E-06  1.95712797E-08
  17007.0254  1.12365183E-06  1.85457747E-08
  17244.0938  1.09274515E-06  1.75734041E-08
  17484.4668  1.06268851E-06  1.66515939E-08
  17728.1914  1.03345951E-06  1.57776618E-08
  17975.3125  1.00503769E-06  1.49489168E-08
  18225.8789  9.77397576E-07  1.41633052E-08
  18479.9375  9.50517403E-07  1.34184361E-08
  18737.5371  9.24379549E-07  1.27122499E-08
  18998.7285  8.98961389E-07  1.20428103E-08
  19263.5605  8.74243653E-07  1.14081953E-08
  19532.084  8.50207584E-07  1.08066658E-08
  19804.3516  8.26832263E-07  1.02368718E-08
  20080.4141  8.0409967E-07  9.6985735E-09
  20360.3223  7.81998608E-07  9.18614607E-09
  20644.1348  7.60505088E-07  8.70056205E-09
  20931.9023  7.39602285E-07  8.24054602E-09
  21223.6816  7.19274055E-07  7.80477638E-09
  21519.5293  6.99505335E-07  7.39194972E-09
  21819.5  6.8028254E-07  7.00088476E-09
  22123.6523  6.61590263E-07  6.63043798E-09
  22432.0449  6.43411511E-07  6.27952224E-09
  22744.7324  6.25734799E-07  5.94710681E-09
  23061.7832  6.08543814E-07  5.63228975E-09
  23383.252  5.91826563E-07  5.33412114E-09
  23709.2012  5.75569686E-07  5.05172304E-09
  24039.6953  5.59759883E-07  4.78427031E-09
  24374.7949  5.44386239E-07  4.53096849E-09
  24714.5664  5.29436932E-07  4.29111768E-09
  25059.0742  5.14898204E-07  4.06395806E-09
  25408.3848  5.00760223E-07  3.84884968E-09
  25762.5645  4.87010993E-07  3.64515307E-09
  26121.6797  4.73640142E-07  3.45226936E-09
  26485.8008  4.60637551E-07  3.26962879E-09
  26855.  4.47992051E-07  3.0967211E-09
  27229.3438  4.35695341E-07  2.93300118E-09
  27608.9062  4.23736168E-07  2.77798273E-09
  27993.7598  4.12108051E-07  2.63121169E-09
  28383.9766  4.00798655E-07  2.49226462E-09
  28779.6348  3.8980059E-07  2.36072228E-09
  29180.8066  3.79107576E-07  2.23618901E-09
  29587.5723  3.68706822E-07  2.1182891E-09
  30000.0059  3.58569451E-07  2.00667705E-09
