 Fe Density=7.874
 Energy(eV), Delta, Beta
  11542.2822  1.15260273E-05  7.81950575E-07
  11703.1748  1.12178959E-05  7.42676718E-07
  11866.3105  1.09174698E-05  7.05326727E-07
  12031.7207  1.06246225E-05  6.69804649E-07
  12199.4365  1.03391803E-05  6.36031132E-07
  12369.4902  1.00609896E-05  6.03908973E-07
  12541.9141  9.78992739E-06  5.73377747E-07
  12716.7412  9.52584469E-06  5.44357647E-07
  12894.0059  9.26857592E-06  5.1677722E-07
  13073.7412  9.01797284E-06  4.90563991E-07
  13255.9824  8.77390357E-06  4.65647048E-07
  13440.7637  8.53619076E-06  4.41974862E-07
  13628.1211  8.30468525E-06  4.1947709E-07
  13818.0889  8.0792579E-06  3.98105726E-07
  14010.7061  7.85978591E-06  3.77799779E-07
  14206.0068  7.64611923E-06  3.58511926E-07
  14404.0312  7.43809551E-06  3.40193196E-07
  14604.8164  7.23558242E-06  3.22791664E-07
  14808.3994  7.03848673E-06  3.06270039E-07
  15014.8203  6.84660336E-06  2.90572473E-07
  15224.1182  6.65984135E-06  2.75667531E-07
  15436.335  6.47809475E-06  2.61514913E-07
  15651.5098  6.30121758E-06  2.48077754E-07
  15869.6816  6.12908434E-06  2.35320258E-07
  16090.8965  5.9615827E-06  2.23209625E-07
  16315.1953  5.79857988E-06  2.11715118E-07
  16542.6191  5.63996355E-06  2.00801423E-07
  16773.2148  5.48563821E-06  1.90442975E-07
  17007.0254  5.3354911E-06  1.80611082E-07
  17244.0938  5.18940124E-06  1.7128022E-07
  17484.4668  5.04726358E-06  1.62426545E-07
  17728.1914  4.90898174E-06  1.54025216E-07
  17975.3125  4.77446065E-06  1.4605186E-07
  18225.8789  4.64358436E-06  1.3848738E-07
  18479.9375  4.51626784E-06  1.31309349E-07
  18737.5371  4.39241876E-06  1.24498897E-07
  18998.7285  4.27194163E-06  1.18038301E-07
  19263.5605  4.15474597E-06  1.11909465E-07
  19532.084  4.04074353E-06  1.06095911E-07
  19804.3516  3.92984794E-06  1.00582085E-07
  20080.4141  3.82198596E-06  9.53511119E-08
  20360.3223  3.71707324E-06  9.03891717E-08
  20644.1348  3.6150293E-06  8.56826716E-08
  20931.9023  3.51577705E-06  8.12193619E-08
  21223.6816  3.41924078E-06  7.69869288E-08
  21519.5293  3.32534546E-06  7.29732861E-08
  21819.5  3.23401923E-06  6.91673847E-08
  22123.6523  3.14519298E-06  6.55584103E-08
  22432.0449  3.05880621E-06  6.21360456E-08
  22744.7324  2.97478482E-06  5.88912492E-08
  23061.7832  2.89306877E-06  5.58149509E-08
  23383.252  2.8135928E-06  5.2898379E-08
  23709.2012  2.73629576E-06  5.01333552E-08
  24039.6953  2.66112215E-06  4.7512124E-08
  24374.7949  2.58801379E-06  4.50272815E-08
  24714.5664  2.51691381E-06  4.26716973E-08
  25059.0742  2.44776743E-06  4.04389624E-08
  25408.3848  2.38052007E-06  3.83223835E-08
  25762.5645  2.31512035E-06  3.63162158E-08
  26121.6797  2.25151734E-06  3.44147786E-08
